Tree ID,Species Name,DBH (in),Replacement Value ($),Carbon Storage (lb),Carbon Storage ($),Gross Carbon Sequestration (lb/yr),Gross Carbon Sequestration ($/yr),Avoided Runoff (gal/yr),Avoided Runoff ($/yr),Carbon Avoided (lb/yr),Carbon Avoided ($/yr),Pollution Removal (oz/yr),Pollution Removal ($/yr),Energy Savings ($/yr),Total Annual Benefits ($/yr)
37,Norway maple,9.8,975.73,405.2,34.55,19.1,1.63,86.6,0.77,N/A,N/A,7.4,1.76,N/A,4.16
38,Northern red oak,2.2,78.30,9.4,0.80,1.7,0.15,9.6,0.09,N/A,N/A,0.8,0.20,N/A,0.43
39,European silver birch,7.9,621.10,223.3,19.05,11.2,0.95,107.9,0.96,N/A,N/A,9.2,2.19,N/A,4.11
40,Tulip tree,13.0,"1,708.58",567.1,48.36,22.0,1.88,284.4,2.54,N/A,N/A,24.4,5.77,N/A,10.19
41,Bur oak,2.6,78.30,11.6,0.99,1.3,0.11,11.2,0.10,N/A,N/A,1.0,0.23,N/A,0.44
42,White oak,1.8,97.88,4.7,0.40,0.9,0.07,7.1,0.06,N/A,N/A,0.6,0.14,N/A,0.28
43,Black oak,25.6,"6,746.06","4,825.5",411.50,71.1,6.06,387.3,3.46,N/A,N/A,33.2,7.86,N/A,17.38
44,Black oak,48.9,"19,671.21","16,534.7","1,410.00",17.9,1.53,794.4,7.10,N/A,N/A,68.0,16.11,N/A,24.74
45,White oak,58.9,"29,184.17","16,534.7","1,410.00",17.9,1.53,"1,692.1",15.12,N/A,N/A,144.9,34.32,N/A,50.97
46,Swamp white oak,8.3,703.02,357.7,30.50,17.7,1.51,92.2,0.82,N/A,N/A,7.9,1.87,N/A,4.20
47,American basswood,18.7,"2,768.44",993.5,84.72,19.9,1.70,414.5,3.70,N/A,N/A,35.5,8.41,N/A,13.81
48,Green ash,17.2,"2,982.61",848.5,72.35,19.3,1.65,355.6,3.18,N/A,N/A,30.5,7.21,N/A,12.04
49,White oak,39.5,"17,915.17","11,390.4",971.32,65.8,5.61,687.7,6.15,N/A,N/A,58.9,13.95,N/A,25.70
50,Northern red oak,16.2,"2,647.13","1,202.2",102.52,28.7,2.45,340.7,3.04,N/A,N/A,29.2,6.91,N/A,12.40
51,Prairie crabapple,2.9,55.11,20.1,1.71,2.8,0.24,8.4,0.08,N/A,N/A,0.7,0.17,N/A,0.48
52,Northern red oak,14.0,"1,979.78",843.3,71.91,23.3,1.99,294.7,2.63,N/A,N/A,25.2,5.98,N/A,10.60
53,Swamp white oak,2.8,78.30,45.7,3.90,6.1,0.52,11.0,0.10,N/A,N/A,0.9,0.22,N/A,0.84
54,Red maple,9.9,995.52,395.9,33.76,20.1,1.71,114.9,1.03,N/A,N/A,9.8,2.33,N/A,5.07
55,Siberian elm,3.0,19.58,18.8,1.60,3.2,0.28,12.1,0.11,N/A,N/A,1.0,0.24,N/A,0.63
56,Swamp white oak,12.5,"1,580.51",804.1,68.57,26.5,2.26,225.1,2.01,N/A,N/A,19.3,4.57,N/A,8.84
57,Green ash,20.1,"4,069.12","1,177.2",100.39,23.1,1.97,398.7,3.56,N/A,N/A,34.1,8.09,N/A,13.62
58,Prairie crabapple,2.9,55.11,20.1,1.71,2.8,0.24,8.4,0.08,N/A,N/A,0.7,0.17,N/A,0.48
59,Prairie crabapple,2.9,55.11,20.1,1.71,2.8,0.24,8.4,0.08,N/A,N/A,0.7,0.17,N/A,0.48
