Tree ID,Species Name,DBH (in),Replacement Value ($),Carbon Storage (lb),Carbon Storage ($),Gross Carbon Sequestration (lb/yr),Gross Carbon Sequestration ($/yr),Avoided Runoff (gal/yr),Avoided Runoff ($/yr),Carbon Avoided (lb/yr),Carbon Avoided ($/yr),Pollution Removal (oz/yr),Pollution Removal ($/yr),Energy Savings ($/yr),Total Annual Benefits ($/yr)
194,Northern hackberry,20.8,"4,356.70",297.3,25.35,5.1,0.43,608.4,5.44,N/A,N/A,52.1,12.34,N/A,18.21
195,Swamp white oak,27.6,"7,662.53","3,898.1",332.41,58.3,4.97,572.2,5.11,N/A,N/A,49.0,11.61,N/A,21.69
196,Thornless honeylocust,24.1,"4,509.55","2,932.2",250.04,47.6,4.06,307.1,2.74,N/A,N/A,26.3,6.23,N/A,13.04
197,Black oak,2.8,80.26,26.7,2.27,3.6,0.31,8.9,0.08,N/A,N/A,0.8,0.18,N/A,0.57
198,Swamp white oak,5.4,239.58,154.7,13.19,11.6,0.99,35.3,0.32,N/A,N/A,3.0,0.72,N/A,2.02
199,White ash,21.6,"4,697.40","2,435.2",207.66,42.6,3.63,430.3,3.85,N/A,N/A,36.8,8.73,N/A,16.20
200,Kentucky Coffee tree,7.1,517.40,132.3,11.28,7.1,0.61,83.5,0.75,N/A,N/A,7.2,1.69,N/A,3.05
201,American basswood,2.6,58.73,9.5,0.81,1.4,0.12,10.9,0.10,N/A,N/A,0.9,0.22,N/A,0.44
202,Kentucky Coffee tree,0.6,78.30,0.8,0.07,0.4,0.03,3.4,0.03,N/A,N/A,0.3,0.07,N/A,0.13
203,White oak,3.3,111.84,24.0,2.05,2.1,0.18,16.6,0.15,N/A,N/A,1.4,0.34,N/A,0.66
204,Kentucky Coffee tree,3.4,94.98,24.2,2.06,2.6,0.22,21.4,0.19,N/A,N/A,1.8,0.43,N/A,0.85
205,Thornless honeylocust,22.7,"4,015.96","2,527.7",215.55,43.9,3.74,303.4,2.71,N/A,N/A,26.0,6.15,N/A,12.61
206,Thornless honeylocust,19.4,"2,969.36","1,713.8",146.15,34.7,2.96,276.9,2.47,N/A,N/A,23.7,5.62,N/A,11.05
207,Kentucky Coffee tree,2.9,78.30,17.0,1.45,2.1,0.18,16.6,0.15,N/A,N/A,1.4,0.34,N/A,0.66
208,Black oak,3.1,80.93,33.8,2.88,4.1,0.35,11.1,0.10,N/A,N/A,0.9,0.22,N/A,0.68
209,Swamp white oak,3.0,78.30,51.6,4.40,6.5,0.56,12.2,0.11,N/A,N/A,1.0,0.25,N/A,0.91
210,Swamp white oak,3.4,94.98,64.7,5.52,7.4,0.63,14.9,0.13,N/A,N/A,1.3,0.30,N/A,1.06
211,Swamp white oak,2.9,78.30,48.6,4.15,6.3,0.54,11.6,0.10,N/A,N/A,1.0,0.23,N/A,0.88
212,Northern red oak,2.9,78.30,18.4,1.57,2.5,0.22,16.0,0.14,N/A,N/A,1.4,0.33,N/A,0.68
213,Northern red oak,3.5,100.65,29.1,2.48,3.3,0.28,23.0,0.21,N/A,N/A,2.0,0.47,N/A,0.95
214,Sugar maple,10.7,"1,325.50",526.9,44.93,12.9,1.10,176.8,1.58,N/A,N/A,15.1,3.59,N/A,6.26
215,Kentucky Coffee tree,3.3,89.47,22.6,1.93,2.5,0.21,20.3,0.18,N/A,N/A,1.7,0.41,N/A,0.81
216,Tulip tree,0.5,78.30,0.2,0.02,0.2,0.02,2.3,0.02,N/A,N/A,0.2,0.05,N/A,0.08
217,Swamp white oak,2.0,78.30,26.1,2.23,4.4,0.38,7.0,0.06,N/A,N/A,0.6,0.14,N/A,0.58
218,Kentucky Coffee tree,2.6,78.30,13.4,1.14,1.8,0.16,14.0,0.13,N/A,N/A,1.2,0.28,N/A,0.57
219,Swamp white oak,3.9,124.97,83.4,7.11,8.4,0.72,18.8,0.17,N/A,N/A,1.6,0.38,N/A,1.27
220,Scots pine,23.8,"5,700.64","1,612.8",137.53,28.6,2.44,317.4,2.84,N/A,N/A,27.2,6.44,N/A,11.71
221,White ash,21.4,"4,611.02","2,382.0",203.12,42.0,3.58,430.2,3.84,N/A,N/A,36.8,8.73,N/A,16.15
222,Green ash,19.9,"3,988.77","1,152.7",98.30,22.8,1.95,397.0,3.55,N/A,N/A,34.0,8.05,N/A,13.55
223,Thornless honeylocust,27.3,"5,748.63","3,997.5",340.89,43.7,3.73,301.7,2.70,N/A,N/A,25.8,6.12,N/A,12.54
224,Scots pine,22.1,"4,916.88","1,387.9",118.35,26.5,2.26,326.5,2.92,N/A,N/A,28.0,6.62,N/A,11.80
225,Thornless honeylocust,25.6,"5,071.16","3,406.7",290.51,46.3,3.95,306.8,2.74,N/A,N/A,26.3,6.22,N/A,12.91
226,Washington hawthorn,1.0,55.11,1.3,0.11,0.5,0.05,1.6,0.01,N/A,N/A,0.1,0.03,N/A,0.09
227,Washington hawthorn,1.1,55.11,1.6,0.14,0.6,0.05,1.7,0.02,N/A,N/A,0.1,0.03,N/A,0.10
228,Washington hawthorn,1.1,55.11,1.6,0.14,0.6,0.05,1.7,0.02,N/A,N/A,0.1,0.03,N/A,0.10
229,Thornless honeylocust,24.1,"4,509.55","2,932.2",250.04,47.6,4.06,307.1,2.74,N/A,N/A,26.3,6.23,N/A,13.04
230,Pin oak,22.2,"4,961.37","2,218.0",189.14,41.3,3.52,577.6,5.16,N/A,N/A,49.5,11.72,N/A,20.40
231,Thornless honeylocust,22.7,"4,015.96","2,527.7",215.55,43.9,3.74,303.4,2.71,N/A,N/A,26.0,6.15,N/A,12.61
232,Thornless honeylocust,23.3,"4,223.88","2,696.6",229.95,45.6,3.89,305.5,2.73,N/A,N/A,26.2,6.20,N/A,12.82
233,Thornless honeylocust,25.8,"5,148.60","3,473.2",296.18,46.1,3.93,306.4,2.74,N/A,N/A,26.2,6.22,N/A,12.88
234,Eastern red cedar,2.6,70.77,19.2,1.64,1.5,0.13,7.4,0.07,N/A,N/A,0.6,0.15,N/A,0.35
235,Eastern red cedar,2.8,70.77,22.5,1.92,1.7,0.14,8.3,0.07,N/A,N/A,0.7,0.17,N/A,0.39
236,Scots pine,17.9,"3,229.41",902.3,76.94,21.2,1.81,318.6,2.85,N/A,N/A,27.3,6.46,N/A,11.12
237,Scots pine,16.3,"2,679.77",743.1,63.37,19.2,1.63,298.1,2.66,N/A,N/A,25.5,6.05,N/A,10.35
238,Scots pine,19.2,"3,713.85","1,042.0",88.86,22.9,1.95,327.3,2.93,N/A,N/A,28.0,6.64,N/A,11.52
239,Star magnolia,5.4,168.63,94.3,8.04,4.7,0.40,41.2,0.37,N/A,N/A,3.5,0.83,N/A,1.60
240,Thornless honeylocust,26.9,"5,585.31","3,853.3",328.60,44.4,3.79,303.3,2.71,N/A,N/A,26.0,6.15,N/A,12.65
241,Northern red oak,1.3,78.30,2.6,0.22,0.8,0.07,4.4,0.04,N/A,N/A,0.4,0.09,N/A,0.20
242,Black oak,32.2,"10,447.97","8,298.4",707.65,96.0,8.19,402.1,3.59,N/A,N/A,34.4,8.16,N/A,19.94
243,Scots pine,15.2,"2,331.73",642.0,54.75,17.7,1.51,277.6,2.48,N/A,N/A,23.8,5.63,N/A,9.62
244,Scots pine,16.5,"2,745.67",762.3,65.00,19.4,1.66,301.3,2.69,N/A,N/A,25.8,6.11,N/A,10.46
245,Scots pine,13.3,"1,787.83",483.6,41.24,15.3,1.30,231.2,2.07,N/A,N/A,19.8,4.69,N/A,8.06
246,Scots pine,8.3,703.02,171.5,14.63,8.8,0.75,87.1,0.78,N/A,N/A,7.5,1.77,N/A,3.30
247,Scots pine,13.8,"1,923.93",523.3,44.62,15.9,1.36,244.6,2.19,N/A,N/A,20.9,4.96,N/A,8.50
248,Swamp white oak,2.6,78.30,40.2,3.43,5.7,0.49,9.9,0.09,N/A,N/A,0.8,0.20,N/A,0.77
249,Eastern white pine,26.6,"7,118.12","1,866.6",159.17,34.1,2.91,537.1,4.80,N/A,N/A,46.0,10.90,N/A,18.61
250,Eastern white pine,19.8,"3,948.89",925.7,78.94,22.5,1.92,382.3,3.42,N/A,N/A,32.7,7.76,N/A,13.09
251,Scots pine,17.7,"3,157.89",881.6,75.18,21.0,1.79,316.6,2.83,N/A,N/A,27.1,6.42,N/A,11.04
252,Scots pine,7.8,622.17,149.2,12.72,8.2,0.70,75.1,0.67,N/A,N/A,6.4,1.52,N/A,2.89
253,Scots pine,12.7,"1,631.13",437.9,37.34,14.5,1.23,214.3,1.91,N/A,N/A,18.3,4.35,N/A,7.50
254,Washington hawthorn,7.1,513.21,153.3,13.07,8.5,0.72,21.8,0.20,N/A,N/A,1.9,0.44,N/A,1.36
255,American basswood,1.6,58.73,3.0,0.26,0.8,0.06,6.1,0.05,N/A,N/A,0.5,0.12,N/A,0.24
256,Green ash,22.3,"5,006.07","1,464.5",124.88,26.1,2.22,430.4,3.85,N/A,N/A,36.9,8.73,N/A,14.80
257,Scots pine,16.8,"2,846.01",791.3,67.48,19.8,1.69,305.7,2.73,N/A,N/A,26.2,6.20,N/A,10.62
258,Northern red oak,18.0,"3,265.47","1,552.9",132.43,33.4,2.84,363.8,3.25,N/A,N/A,31.2,7.38,N/A,13.48
259,Scots pine,9.6,936.76,237.3,20.23,10.5,0.89,122.0,1.09,N/A,N/A,10.4,2.48,N/A,4.46
260,Scots pine,11.5,"1,339.44",353.1,30.11,12.9,1.10,178.6,1.60,N/A,N/A,15.3,3.62,N/A,6.32
261,Scots pine,13.9,"1,951.75",531.4,45.31,16.0,1.37,247.2,2.21,N/A,N/A,21.2,5.01,N/A,8.59
262,Ginkgo,1.0,97.88,0.4,0.04,0.1,0.01,2.7,0.02,N/A,N/A,0.2,0.06,N/A,0.09
263,Northern hackberry,17.0,"2,913.91",210.4,17.94,4.4,0.37,413.4,3.69,N/A,N/A,35.4,8.39,N/A,12.45
264,Tulip tree,1.3,78.30,2.0,0.17,0.9,0.08,4.1,0.04,N/A,N/A,0.3,0.08,N/A,0.20
265,Black oak,3.8,121.61,54.2,4.62,5.4,0.46,17.2,0.15,N/A,N/A,1.5,0.35,N/A,0.96
266,Sugar maple,3.6,133.10,40.7,3.47,3.0,0.26,27.2,0.24,N/A,N/A,2.3,0.55,N/A,1.05
267,Scots pine,17.3,"3,017.27",840.9,71.71,20.5,1.74,312.2,2.79,N/A,N/A,26.7,6.33,N/A,10.87
268,Prairie crabapple,11.9,"1,157.97",637.4,54.36,21.0,1.79,78.6,0.70,N/A,N/A,6.7,1.59,N/A,4.09
269,Prairie crabapple,11.7,"1,124.60",611.5,52.14,20.5,1.74,76.2,0.68,N/A,N/A,6.5,1.55,N/A,3.97
270,Scots pine,16.9,"2,879.86",801.1,68.32,19.9,1.70,307.1,2.74,N/A,N/A,26.3,6.23,N/A,10.67
271,Blue spruce,2.6,97.88,18.2,1.55,1.4,0.12,6.1,0.05,N/A,N/A,0.5,0.12,N/A,0.30
272,Blue spruce,2.5,97.88,16.9,1.44,1.3,0.11,5.8,0.05,N/A,N/A,0.5,0.12,N/A,0.28
273,Blue spruce,2.8,97.88,21.0,1.79,1.5,0.13,6.8,0.06,N/A,N/A,0.6,0.14,N/A,0.33
274,Blue spruce,2.6,97.88,18.2,1.55,1.4,0.12,6.1,0.05,N/A,N/A,0.5,0.12,N/A,0.30
275,Blue spruce,2.6,97.88,18.2,1.55,1.4,0.12,6.1,0.05,N/A,N/A,0.5,0.12,N/A,0.30
276,Thornless honeylocust,16.3,"2,135.64","1,116.4",95.20,26.8,2.28,229.6,2.05,N/A,N/A,19.7,4.66,N/A,8.99
277,Blue spruce,2.8,97.88,21.0,1.79,1.5,0.13,6.8,0.06,N/A,N/A,0.6,0.14,N/A,0.33
278,Blue spruce,3.0,97.88,24.0,2.04,1.6,0.14,7.6,0.07,N/A,N/A,0.7,0.15,N/A,0.36
279,Blue spruce,2.8,97.88,21.0,1.79,1.5,0.13,6.8,0.06,N/A,N/A,0.6,0.14,N/A,0.33
280,Prairie crabapple,4.8,133.24,68.9,5.88,5.7,0.49,16.9,0.15,N/A,N/A,1.4,0.34,N/A,0.98
281,Thornless honeylocust,16.3,"2,135.64","1,116.4",95.20,26.8,2.28,229.6,2.05,N/A,N/A,19.7,4.66,N/A,8.99
282,Roughleaf dogwood,5.4,168.63,90.5,7.72,6.2,0.53,20.6,0.18,N/A,N/A,1.8,0.42,N/A,1.13
283,Eastern red cedar,1.4,70.77,5.4,0.46,0.7,0.06,3.1,0.03,N/A,N/A,0.3,0.06,N/A,0.15
284,Blue spruce,2.9,97.88,22.4,1.91,1.6,0.13,7.2,0.06,N/A,N/A,0.6,0.15,N/A,0.35
285,Eastern red cedar,1.5,70.77,6.2,0.53,0.8,0.07,3.4,0.03,N/A,N/A,0.3,0.07,N/A,0.17
286,Eastern red cedar,1.4,70.77,5.4,0.46,0.7,0.06,3.1,0.03,N/A,N/A,0.3,0.06,N/A,0.15
287,Eastern red cedar,1.3,70.77,4.7,0.40,0.7,0.06,2.9,0.03,N/A,N/A,0.2,0.06,N/A,0.14
288,Eastern red cedar,1.4,70.77,5.4,0.46,0.7,0.06,3.1,0.03,N/A,N/A,0.3,0.06,N/A,0.15
289,Swamp white oak,2.6,78.30,40.2,3.43,5.7,0.49,9.9,0.09,N/A,N/A,0.8,0.20,N/A,0.77
290,Eastern red cedar,1.4,70.77,5.4,0.46,0.7,0.06,3.1,0.03,N/A,N/A,0.3,0.06,N/A,0.15
291,Eastern red cedar,1.5,70.77,6.2,0.53,0.8,0.07,3.4,0.03,N/A,N/A,0.3,0.07,N/A,0.17
292,Blue spruce,2.9,97.88,22.4,1.91,1.6,0.13,7.2,0.06,N/A,N/A,0.6,0.15,N/A,0.35
293,Eastern red cedar,1.5,70.77,6.2,0.53,0.8,0.07,3.4,0.03,N/A,N/A,0.3,0.07,N/A,0.17
294,Eastern red cedar,1.4,70.77,5.4,0.46,0.7,0.06,3.1,0.03,N/A,N/A,0.3,0.06,N/A,0.15
295,Eastern red cedar,1.4,70.77,5.4,0.46,0.7,0.06,3.1,0.03,N/A,N/A,0.3,0.06,N/A,0.15
296,Eastern red cedar,1.3,70.77,4.7,0.40,0.7,0.06,2.9,0.03,N/A,N/A,0.2,0.06,N/A,0.14
297,Eastern red cedar,1.4,70.77,5.4,0.46,0.7,0.06,3.1,0.03,N/A,N/A,0.3,0.06,N/A,0.15
298,Thornless honeylocust,15.0,"1,829.11",910.5,77.64,23.7,2.02,204.6,1.83,N/A,N/A,17.5,4.15,N/A,8.00
299,Norway maple,7.5,576.06,221.2,18.87,13.6,1.16,51.8,0.46,N/A,N/A,4.4,1.05,N/A,2.67
300,Serviceberry spp,0.9,55.11,1.2,0.11,0.6,0.05,1.7,0.02,N/A,N/A,0.1,0.04,N/A,0.10

