tree_id,identification,circum (inches),planters,date
185,Princeton Elm,23.5,,10/25/2022
186,White Ash,149,,10/25/2022
187,Common Hackberry,161,,10/25/2022
188,Freeman Maple,60,,10/25/2022
189,Dogwood,4.5,,10/25/2022
190,Dogwood,4.5,,10/25/2022
191,Dogwood,4,,10/25/2022
192,Swamp White Oak,23,,10/25/2022
193,Maple Northern Flare,17.5,"H. Blegger, S. Huggins, L. Tierney",10/25/2022
194,Unidentified,95,,10/25/2022
195,Ohio Buckeye,73,,10/25/2022
196,Swamp White Oak,173,,10/25/2022
197,Honey Locust,154,,10/25/2022
198,Swamp White Oak,44.5,,10/25/2022
199,Swamp White Oak,209,,10/25/2022
200,White Ash,293,,10/25/2022
201,Freeman Maple,57,,10/25/2022
202,Common Hackberry,166,,10/25/2022
203,Swamp White Oak,220,,10/25/2022
204,Honey Locust,192,,10/25/2022
205,Black Oak,22,,10/25/2022
206,Swamp White Oak,43,,10/25/2022
207,White Ash,172.5,,10/25/2022
208,Kentucky Coffee Tree,57,,10/25/2022
209,Sentry Linden,21,,10/25/2022
210,Kentucky Coffee Tree,4.5,,10/25/2022
211,White Oak,26,,10/25/2022
212,Kentucky Coffee Tree,27.5,,10/25/2022
213,Honey Locust,181,,10/25/2022
214,Honey Locust,155,,10/25/2022
215,Kentucky Coffee Tree,23,,10/25/2022
216,Black Oak,24.5,,10/25/2022
217,Swamp White Oak,24,,10/25/2022
218,Swamp White Oak,27,,10/25/2022
219,Swamp White Oak,23,,10/25/2022
220,Red Oak,23,,10/25/2022
221,Red Oak,28,,10/25/2022
222,Sugar Maple,85,,10/25/2022
223,Kentucky Coffee Tree,26,,10/25/2022
224,Tulip Tree,4,,10/25/2022
225,Swamp White Oak,16,,10/25/2022
226,Kentucky Coffee Tree,20.5,,10/25/2022
227,Swamp White Oak,31.5,,10/25/2022
228,Unidentified,16,,10/25/2022
229,Scotch Pine,190,,10/25/2022
230,White Ash,171,,11/9/2022
231,Green Ash,159,,11/9/2022
232,Honey Locust,218,,11/9/2022
233,Scotch Pine,176,,11/9/2022
234,Honey Locust,204,,11/9/2022
235,Hawthorn,8,,11/9/2022
236,Hawthorn,9,,11/9/2022
237,Hawthorn,9,,11/9/2022
238,Honey Locust,192,,11/9/2022
239,Unidentified,190,,11/9/2022
240,Pin Oak,177,,11/9/2022
241,Honey Locust,181,,11/9/2022
242,Honey Locust,186,,11/9/2022
243,Unidentified,52,,11/9/2022
244,Unidentified,99,,11/9/2022
245,Unidentified,58,,11/9/2022
246,Unidentified,52,,11/9/2022
247,Honey Locust,206,,11/9/2022
248,Unidentified,97,,11/9/2022
249,Eastern Red Cedar,21,,11/9/2022
250,Eastern Red Cedar,22,,11/9/2022
251,Unidentified,228,,11/9/2022
252,Scotch Pine,143,,11/9/2022
253,Scotch Pine,130,,11/9/2022
254,Scotch Pine,153,,11/9/2022
255,Magnolia,43,,11/9/2022
256,Honey Locust,215,,11/9/2022
257,Red Oak,10,,11/9/2022
258,Black Oak,257,,11/9/2022
259,Scotch Pine,121,,11/9/2022
260,Scotch Pine,132,,11/9/2022
261,Scotch Pine,106,,11/9/2022
262,Scotch Pine,66,,11/9/2022
263,Scotch Pine,110,,11/9/2022
264,Swamp White Oak,21,"A. Eastburg, C. Robledo",11/9/2022
265,White Pine,212,,11/9/2022
266,White Pine,158,,11/9/2022
267,Scotch Pine,141,,11/9/2022
268,Scotch Pine,62,,11/9/2022
269,Scotch Pine,101,,11/9/2022
270,Hawthorn,57,,11/9/2022
271,Sentry Linden,13,"E. Brinkman, M. Huse, R. Staples",11/9/2022
272,Green Ash,178,,11/9/2022
273,Unidentified,63,,11/9/2022
274,Unidentified,82,,11/9/2022
275,Scotch Pine,134,,11/9/2022
276,Red Oak,144,,11/9/2022
277,Scotch Pine,77,,11/9/2022
278,Scotch Pine,92,,11/9/2022
279,Scotch Pine,111,,11/9/2022
280,Princeton Sentry Ginkgo,8,"M. Cavanagh, K. Mahlberg, L. Steege",11/9/2022
281,Common Hackberry,136,,11/9/2022
282,Unidentified,10.5,,11/9/2022
283,Tulip Tree,10.5,,11/9/2022
284,Black Oak,30,,11/9/2022
285,Sugar Maple,29,,11/9/2022
286,Scotch Pine,138,,11/9/2022
287,Crabapple,95,,11/9/2022
288,Crabapple,93,,11/9/2022
289,Scotch Pine,135,,11/9/2022
290,Colorado Blue Spruce,21,,11/9/2022
291,Colorado Blue Spruce,20,,11/9/2022
292,Colorado Blue Spruce,22,,11/9/2022
293,Colorado Blue Spruce,21,,11/9/2022
294,Colorado Blue Spruce,21,,11/9/2022
295,Honey Locust,130,,11/9/2022
296,Colorado Blue Spruce,22,,11/9/2022
297,Colorado Blue Spruce,24,,11/9/2022
298,Colorado Blue Spruce,22,,11/9/2022
299,Crabapple,38,,11/9/2022
300,Honey Locust,130,,11/9/2022
301,Dogwood,43,,11/9/2022
302,Eastern Red Cedar,11,,11/9/2022
303,Colorado Blue Spruce,23,,11/9/2022
304,Eastern Red Cedar,12,,11/9/2022
305,Eastern Red Cedar,11,,11/9/2022
306,Eastern Red Cedar,10,,11/9/2022
307,Eastern Red Cedar,11,,11/9/2022
308,Swamp White Oak,21,,11/9/2022
309,Eastern Red Cedar,11,,11/9/2022
310,Eastern Red Cedar,12,,11/9/2022
311,Colorado Blue Spruce,23,,11/9/2022
312,Eastern Red Cedar,12,,11/9/2022
313,Eastern Red Cedar,11,,11/9/2022
314,Eastern Red Cedar,11,,11/9/2022
315,Eastern Red Cedar,10,,11/9/2022
316,Eastern Red Cedar,11,,11/9/2022
317,Honey Locust,120,,11/9/2022
318,Norway Maple,60,,11/9/2022
319,Autumn Brillance Serviceberry,7,,9/14/2022
