TreeID,species_id,species_code,Species,DBH,dbh_height,Longitude,Latitude,Land Use
86,3961,MAST,Star magnolia (Magnolia stellata),9.5,4.5,-91.6575878713401,41.98544968221696,Institutional
87,4970,QURU,Northern red oak (Quercus rubra),19.9,4.5,-91.65771902504734,41.98543291871147,Institutional
88,1676,ACPL,Norway maple (Acer platanoides),10.4,4.5,-91.65748009357426,41.98537427456898,Institutional
89,4431,PIPU,Blue spruce (Picea pungens),10.9,4.5,-91.65763609677238,41.98537037023226,Institutional
90,1673,ACNI,Black maple (Acer nigrum),23.4,4.5,-91.65771080386769,41.98527222004381,Institutional
91,4839,QUBI,Swamp white oak (Quercus bicolor),19.8,4.5,-91.65783660788217,41.985237741122,Institutional
92,3394,FRPE,Green ash (Fraxinus pennsylvanica),21.9,4.5,-91.65779735521815,41.98531444321434,Institutional
93,5858,TICO,Littleleaf linden (Tilia cordata),29.1,4.5,-91.65800060535491,41.98538718259486,Institutional
94,3378,FRAM,White ash (Fraxinus americana),18.2,4.5,-91.65776666537197,41.98601945330486,Institutional
95,5857,TIAM,American basswood (Tilia americana),18,4.5,-91.65790813118319,41.98604703494446,Institutional
96,4824,QUAL,White oak (Quercus alba),18.2,4.5,-91.65808242543791,41.98594733752132,Institutional
97,3995,PYIO,Prairie crabapple (Malus ioensis),6.4,4.5,-91.65817362940153,41.98596340382555,Institutional
98,4952,QUPA,Pin oak (Quercus palustris),29.4,4.5,-91.65827811672014,41.98602202386881,Institutional
99,15105,GLTR1,Thornless honeylocust (Gleditsia triacanthos v. inermis),23.9,4.5,-91.65830845096795,41.98589748066458,Institutional
100,5001,QUVE,Black oak (Quercus velutina),32.1,4.5,-91.65737982960847,41.98688913321064,Institutional
101,4970,QURU,Northern red oak (Quercus rubra),31.6,4.5,-91.65726202319136,41.98691822773492,Institutional
102,4952,QUPA,Pin oak (Quercus palustris),31.7,4.5,-91.65736205167252,41.98699522891669,Institutional
103,3995,PYIO,Prairie crabapple (Malus ioensis),9.1,4.5,-91.65720563412798,41.98697592162836,Institutional
105,5903,ULAM,American elm (Ulmus americana),2.8,4.5,-91.65716214978103,41.98710895314953,Institutional
106,4926,QUMA1,Bur oak (Quercus macrocarpa),2.5,4.5,-91.65706847795803,41.98716180342434,Institutional
107,3394,FRPE,Green ash (Fraxinus pennsylvanica),37.7,4.5,-91.65691575031646,41.98711616627285,Institutional
108,4970,QURU,Northern red oak (Quercus rubra),24.7,4.5,-91.65679280971119,41.98718248770117,Institutional
109,1683,ACFR,Freeman maple (Acer x freemanii),5.5,4.5,-91.65668704578364,41.9872409664797,Institutional
110,3995,PYIO,Prairie crabapple (Malus ioensis),5,4.5,-91.65688782002006,41.98735540738671,Institutional
111,324,AM,serviceberry spp (Amelanchier),0.9,4.5,-91.65629444627874,41.9867089367708,Institutional
112,3394,FRPE,Green ash (Fraxinus pennsylvanica),25.2,4.5,-91.6561784070351,41.98677194303147,Institutional
113,3394,FRPE,Green ash (Fraxinus pennsylvanica),35.6,4.5,-91.65655139094824,41.98699728536548,Institutional
114,4839,QUBI,Swamp white oak (Quercus bicolor),20.9,4.5,-91.65800899362631,41.98586488432012,Institutional
115,1680,ACSA2,Sugar maple (Acer saccharum),13.9,4.5,-91.65804203094945,41.98578884521584,Institutional
116,1680,ACSA2,Sugar maple (Acer saccharum),18,4.5,-91.65815788263046,41.98573284001962,Institutional
117,15105,GLTR1,Thornless honeylocust (Gleditsia triacanthos v. inermis),25.8,4.5,-91.65808319241984,41.98566364906055,Institutional
118,2302,CEOC,Northern hackberry (Celtis occidentalis),20.1,4.5,-91.65809841171517,41.98560817631176,Institutional
119,1676,ACPL,Norway maple (Acer platanoides),21.6,4.5,-91.65801458335378,41.98557769281658,Institutional
120,2302,CEOC,Northern hackberry (Celtis occidentalis),14.2,4.5,-91.6579585768569,41.98554199500949,Institutional
121,2733,CRPH,Washington hawthorn (Crataegus phaenopyrum),7.8,4.5,-91.65786644568075,41.98556673700367,Institutional
122,3852,LITU,Tulip tree (Liriodendron tulipifera),1,4.5,-91.65764489293426,41.98667386543758,Institutional
123,4970,QURU,Northern red oak (Quercus rubra),2.1,4.5,-91.657806122747985,41.98663623947633,Institutional
124,4926,QUMA1,Bur oak (Quercus macrocarpa),2.3,4.5,-91.65794559612065,41.98665895733344,Institutional
125,4839,QUBI,Swamp white oak (Quercus bicolor),2.5,4.5,-91.65805991197799,41.98670003289348,Institutional
126,4926,QUMA1,Bur oak (Quercus macrocarpa),9.4,4.5,-91.65815900464811,41.98678535920747,Institutional
127,1683,ACFR,Freeman maple (Acer x freemanii),4,4.5,-91.65825143101776,41.98687050873172,Institutional
128,4970,QURU,Northern red oak (Quercus rubra),23.9,4.5,-91.65832698235828,41.98697250465202,Institutional
129,5857,TIAM,American basswood (Tilia americana),1.6,4.5,-91.6583800013922,41.98711285211981,Institutional
130,4926,QUMA1,Bur oak (Quercus macrocarpa),30.3,4.5,-91.65831114956616,41.98721527506114,Institutional
131,4839,QUBI,Swamp white oak (Quercus bicolor),25.3,4.5,-91.65808262576662,41.98731860520671,Institutional
132,5903,ULAM,American elm (Ulmus americana),2.9,4.5,-91.65791356221939,41.98730125758571,Institutional
133,5857,TIAM,American basswood (Tilia americana),36.7,4.5,-91.65783796774328,41.98725789598659,Institutional
